tap,id,gt_start,gt_end,pred_start,pred_end,tiou
encoder,nisqa_temporal_00006,0.337,1.211,0.32,1.24,0.9500000000000002
encoder,nisqa_temporal_00081,4.23,5.574,4.12,4.64,0.2819807427785415
encoder,nisqa_temporal_00094,0.952,1.857,1.32,1.56,0.26519337016574585
encoder,nisqa_temporal_00121,2.026,2.906,2.24,2.56,0.3636363636363633
encoder,nisqa_temporal_00128,1.758,2.898,2.52,2.6,0.07017543859649128
encoder,nisqa_temporal_00135,1.019,2.583,2.36,2.72,0.1310993533215757
encoder,nisqa_temporal_00155,0.206,1.55,10.8,11.0,0.0
encoder,nisqa_temporal_00168,0.161,0.808,0.36,0.88,0.6230876216968012
encoder,nisqa_temporal_00182,2.549,3.437,3.0,3.2,0.22522522522522545
encoder,nisqa_temporal_00236,0.991,2.47,1.6400000000000001,2.56,0.5289993626513704
encoder,nisqa_temporal_00297,3.192,4.671,3.04,3.88,0.42182709993868767
encoder,nisqa_temporal_00303,5.948,7.133,5.68,6.16,0.1459050240880934
encoder,nisqa_temporal_00317,2.404,4.187,3.7600000000000002,3.96,0.11217049915872108
encoder,nisqa_temporal_00351,2.866,4.829,6.04,6.6000000000000005,0.0
encoder,nisqa_temporal_00398,4.605,6.475,5.28,5.84,0.29946524064171115
encoder,nisqa_temporal_00459,6.685,7.861,7.08,7.36,0.23809523809523828
encoder,nisqa_temporal_00479,1.652,2.808,2.44,2.88,0.2996742671009771
encoder,nisqa_temporal_00486,4.135,4.993,1.04,1.32,0.0
encoder,nisqa_temporal_00526,2.702,3.798,2.72,3.4,0.6204379562043792
encoder,nisqa_temporal_00587,1.079,1.932,2.64,2.8000000000000003,0.0
encoder,nisqa_temporal_00607,1.938,3.111,2.7600000000000002,3.12,0.29695431472081213
encoder,nisqa_temporal_00621,2.261,3.084,2.32,3.44,0.6480067854113658
encoder,nisqa_temporal_00654,2.39,3.104,2.52,2.92,0.5602240896358542
encoder,nisqa_temporal_00729,10.087,10.715,10.120000000000001,11.16,0.5545200372786567
encoder,nisqa_temporal_00742,2.772,3.691,2.52,2.7600000000000002,0.0
encoder,nisqa_temporal_00769,7.453,8.32,0.2,0.32,0.0
encoder,nisqa_temporal_00776,2.387,3.026,2.32,3.08,0.84078947368421
encoder,nisqa_temporal_00789,1.236,2.111,1.48,2.12,0.7138009049773757
encoder,nisqa_temporal_00843,0.317,1.33,7.24,7.5200000000000005,0.0
encoder,nisqa_temporal_00864,3.712,4.782,3.7600000000000002,4.76,0.9345794392523362
encoder,nisqa_temporal_00877,4.275,5.731,4.16,5.88,0.8465116279069765
encoder,nisqa_temporal_00911,3.536,6.03,4.84,5.84,0.4009623095429029
encoder,nisqa_temporal_00978,2.319,3.416,4.88,5.36,0.0
encoder,nisqa_temporal_01012,1.401,2.792,1.36,1.6,0.13896648044692744
encoder,nisqa_temporal_01019,6.462,7.089,6.16,7.08,0.6652314316469323
encoder,nisqa_temporal_01026,1.249,2.521,2.52,2.56,0.0007627765064835163
encoder,nisqa_temporal_01134,1.615,2.465,2.36,2.4,0.04705882352941181
encoder,nisqa_temporal_01140,1.638,3.03,4.4,4.88,0.0
encoder,nisqa_temporal_01154,4.696,5.861,4.64,5.84,0.936936936936937
encoder,nisqa_temporal_01242,4.697,6.21,4.5200000000000005,5.04,0.20295857988165686
encoder,nisqa_temporal_01248,4.406,5.947,5.28,5.72,0.2855288773523682
encoder,nisqa_temporal_01289,10.099,10.894,5.5200000000000005,5.92,0.0
encoder,nisqa_temporal_01296,1.256,2.752,1.04,2.4,0.6682242990654205
encoder,nisqa_temporal_01316,4.295,6.497,4.32,5.32,0.45413260672116257
encoder,nisqa_temporal_01343,7.216,7.849,7.44,7.8,0.5687203791469185
encoder,nisqa_temporal_01377,1.327,2.151,7.84,8.040000000000001,0.0
encoder,nisqa_temporal_01383,3.693,5.415,5.48,5.68,0.0
encoder,nisqa_temporal_01397,2.903,3.655,1.6,1.68,0.0
encoder,nisqa_temporal_01410,2.14,3.206,2.16,3.3200000000000003,0.8864406779661014
encoder,nisqa_temporal_01417,5.135,6.146,5.92,6.12,0.1978239366963404
encoder,nisqa_temporal_01424,2.498,3.117,4.72,5.0,0.0
encoder,nisqa_temporal_01518,2.037,3.357,8.08,8.76,0.0
encoder,nisqa_temporal_01525,1.673,2.587,1.6400000000000001,2.68,0.8788461538461539
encoder,nisqa_temporal_01552,9.447,10.744,9.8,9.92,0.09252120277563544
encoder,nisqa_temporal_01559,0.606,1.347,0.56,1.48,0.8054347826086956
encoder,nisqa_temporal_01633,6.401,7.713,6.88,7.640000000000001,0.5792682926829272
encoder,nisqa_temporal_01667,6.019,7.948,6.5200000000000005,8.08,0.6928675400291121
encoder,nisqa_temporal_01721,1.205,2.42,1.68,2.2800000000000002,0.49382716049382747
encoder,nisqa_temporal_01728,5.408,6.422,5.32,6.5600000000000005,0.8177419354838703
encoder,nisqa_temporal_01768,5.824,7.088,5.72,7.08,0.9181286549707601
encoder,nisqa_temporal_01788,1.739,2.61,1.6400000000000001,2.4,0.6814432989690722
encoder,nisqa_temporal_01802,1.941,2.757,1.72,3.12,0.5828571428571429
encoder,nisqa_temporal_01836,4.752,6.428,4.68,6.44,0.952272727272727
encoder,nisqa_temporal_01903,3.968,4.846,0.8,1.0,0.0
encoder,nisqa_temporal_01910,1.335,3.74,1.24,3.96,0.8841911764705884
encoder,nisqa_temporal_01917,2.732,4.45,2.72,3.68,0.5479768786127167
encoder,nisqa_temporal_01950,6.388,7.242,4.8,5.5600000000000005,0.0
encoder,nisqa_temporal_01971,7.062,7.981,7.5200000000000005,7.96,0.4787812840043522
encoder,nisqa_temporal_01984,5.497,6.975,5.48,6.2,0.470234113712375
encoder,nisqa_temporal_01991,3.168,4.556,3.16,4.44,0.9111747851002868
encoder,nisqa_temporal_02072,3.8,5.801,3.7600000000000002,3.88,0.03919647231749146
encoder,nisqa_temporal_02139,0.953,1.728,1.48,1.76,0.30731102850061953
encoder,nisqa_temporal_02153,1.798,2.672,1.8,2.68,0.9886621315192744
encoder,nisqa_temporal_02160,3.132,4.558,3.24,4.68,0.8514211886304909
encoder,nisqa_temporal_02200,0.785,2.453,0.88,1.56,0.40767386091127106
encoder,nisqa_temporal_02207,6.451,7.813,6.4,7.5600000000000005,0.7848549186128814
encoder,nisqa_temporal_02214,3.189,4.939,3.16,3.68,0.2759977515458123
encoder,nisqa_temporal_02254,0.851,1.555,1.04,1.2,0.22727272727272718
encoder,nisqa_temporal_02281,0.995,1.752,1.0,1.84,0.8899408284023669
encoder,nisqa_temporal_02295,5.622,6.606,5.68,6.04,0.3658536585365857
encoder,nisqa_temporal_02315,0.864,2.115,1.12,1.48,0.2877697841726617
encoder,nisqa_temporal_02443,9.921,10.994,10.120000000000001,10.24,0.11183597390493866
encoder,nisqa_temporal_02477,2.205,3.325,1.44,1.48,0.0
encoder,nisqa_temporal_02511,4.247,5.295,4.2,4.64,0.358904109589041
encoder,nisqa_temporal_02612,0.882,2.244,0.92,1.6,0.49926578560939794
encoder,nisqa_temporal_02639,3.758,4.365,0.48,0.68,0.0
encoder,nisqa_temporal_02700,6.297,8.279,6.72,7.96,0.6256306760847629
encoder,nisqa_temporal_02706,0.137,1.734,1.36,1.56,0.12523481527864744
encoder,nisqa_temporal_02760,2.493,3.364,2.48,3.4,0.9467391304347826
encoder,nisqa_temporal_02787,0.588,1.82,0.96,1.32,0.29220779220779225
encoder,nisqa_temporal_02855,4.347,5.809,5.64,5.84,0.11319490957803117
encoder,nisqa_temporal_02862,2.574,3.739,2.52,3.7600000000000002,0.9395161290322579
encoder,nisqa_temporal_02889,4.942,6.682,6.5200000000000005,6.640000000000001,0.06896551724137936
encoder,nisqa_temporal_02909,3.817,4.503,3.92,4.5600000000000005,0.7846567967698519
encoder,nisqa_temporal_02922,4.072,5.558,4.8,5.0,0.13458950201884268
encoder,nisqa_temporal_02976,4.311,5.008,4.16,5.16,0.6970000000000001
encoder,nisqa_temporal_03057,2.095,4.77,3.16,4.36,0.44859813084112166
encoder,nisqa_temporal_03125,6.112,6.971,6.0,7.04,0.8259615384615384
encoder,nisqa_temporal_03145,8.997,9.622,2.68,2.7600000000000002,0.0
encoder,nisqa_temporal_03186,4.22,5.729,1.12,1.2,0.0
encoder,nisqa_temporal_03199,4.676,5.887,2.72,3.2,0.0
encoder,nisqa_temporal_03260,0.987,2.088,1.08,1.48,0.36330608537693
encoder,nisqa_temporal_03267,1.131,2.444,5.28,5.68,0.0
encoder,nisqa_temporal_03273,1.475,3.173,2.64,3.44,0.2712468193384224
encoder,nisqa_temporal_03314,3.441,4.143,3.68,3.88,0.2849002849002845
encoder,nisqa_temporal_03321,1.377,3.369,1.92,2.52,0.3012048192771084
encoder,nisqa_temporal_03469,5.039,6.425,5.0,5.76,0.5059649122807018
encoder,nisqa_temporal_03483,6.038,7.792,5.96,6.640000000000001,0.32860262008733643
encoder,nisqa_temporal_03537,0.054,0.691,0.2,0.72,0.737237237237237
encoder,nisqa_temporal_03543,4.065,4.698,4.12,4.6000000000000005,0.7582938388625599
encoder,nisqa_temporal_03564,6.002,7.179,1.08,1.72,0.0
encoder,nisqa_temporal_03705,3.883,5.336,4.92,5.44,0.267180475272961
encoder,nisqa_temporal_03719,1.043,1.7,0.92,1.8800000000000001,0.6843750000000001
encoder,nisqa_temporal_03780,1.253,1.953,1.28,1.6,0.45714285714285713
encoder,nisqa_temporal_03800,3.991,5.587,4.04,4.4,0.22556390977443633
encoder,nisqa_temporal_03820,2.547,4.637,2.6,3.16,0.26794258373205754
encoder,nisqa_temporal_03827,10.041,11.483,9.84,10.56,0.3158855751673767
encoder,nisqa_temporal_03834,4.803,5.42,4.76,5.8,0.5932692307692308
encoder,nisqa_temporal_03840,0.26,0.86,0.36,1.08,0.6097560975609756
encoder,nisqa_temporal_03908,3.952,4.752,4.2,4.5600000000000005,0.4500000000000005
encoder,nisqa_temporal_03915,3.662,4.695,3.96,4.32,0.3484995159728947
encoder,nisqa_temporal_04023,1.087,1.769,1.08,1.8800000000000001,0.8524999999999999
encoder,nisqa_temporal_04056,1.113,1.899,1.0,1.72,0.675194660734149
encoder,nisqa_temporal_04097,2.385,3.387,2.32,3.12,0.688847235238988
encoder,nisqa_temporal_04117,0.27,0.985,1.68,2.2,0.0
encoder,nisqa_temporal_04164,4.904,7.677,6.08,6.8,0.2596465921384781
encoder,nisqa_temporal_04191,0.176,1.023,0.36,0.44,0.09445100354191266
encoder,nisqa_temporal_04252,3.944,5.558,4.5200000000000005,5.4,0.5452292441140024
encoder,nisqa_temporal_04286,0.81,1.922,1.4000000000000001,1.96,0.4539130434782607
encoder,nisqa_temporal_04313,5.069,6.428,5.0,6.48,0.918243243243243
encoder,nisqa_temporal_04320,6.925,7.765,2.88,3.56,0.0
encoder,nisqa_temporal_04340,1.204,2.088,1.32,1.56,0.27149321266968324
encoder,nisqa_temporal_04374,4.185,5.847,4.12,5.5200000000000005,0.7730167921250727
encoder,nisqa_temporal_04414,3.403,4.989,3.84,4.0,0.1008827238335436
encoder,nisqa_temporal_04461,4.493,5.467,4.48,4.64,0.14893617021276542
encoder,nisqa_temporal_04495,2.621,3.34,2.7600000000000002,3.0,0.3337969401947146
encoder,nisqa_temporal_04522,4.668,5.575,4.6000000000000005,5.68,0.8398148148148155
encoder,nisqa_temporal_04549,2.56,5.278,3.92,5.44,0.47152777777777766
encoder,nisqa_temporal_04597,0.962,3.123,4.08,4.28,0.0
encoder,nisqa_temporal_04657,4.241,5.018,4.24,5.08,0.9250000000000003
encoder,nisqa_temporal_04664,0.355,1.679,0.36,0.76,0.30211480362537757
encoder,nisqa_temporal_04684,5.304,5.934,5.32,5.4,0.12698412698412712
encoder,nisqa_temporal_04698,4.226,5.165,4.6000000000000005,4.8,0.2129925452609151
encoder,nisqa_temporal_04738,0.045,1.228,0.24,1.44,0.7082437275985662
encoder,nisqa_temporal_04752,1.409,2.968,3.52,4.76,0.0
encoder,nisqa_temporal_04806,5.893,6.902,6.5200000000000005,6.84,0.31714568880079214
encoder,nisqa_temporal_04894,3.488,4.389,3.92,4.5200000000000005,0.45445736434108536
encoder,nisqa_temporal_04927,1.293,2.174,1.72,1.92,0.22701475595913728
encoder,nisqa_temporal_04968,10.006,10.658,10.64,10.84,0.021582733812948337
encoder,nisqa_temporal_04975,0.307,1.078,0.48,0.68,0.2594033722438392
encoder,nisqa_temporal_05015,5.724,6.652,2.36,2.84,0.0
encoder,nisqa_temporal_05035,4.338,5.993,4.4,4.84,0.265861027190332
encoder,nisqa_temporal_05076,4.875,6.039,3.52,3.92,0.0
encoder,nisqa_temporal_05083,7.911,9.389,9.200000000000001,9.36,0.10825439783491096
encoder,nisqa_temporal_05110,1.035,1.738,1.0,1.96,0.7322916666666668
encoder,nisqa_temporal_05157,3.012,3.897,3.12,3.56,0.49717514124293793
