tap,id,gt_start,gt_end,pred_start,pred_end,tiou
encoder,nisqa_temporal_00006,0.337,1.211,0.36,1.16,0.9153318077803203
encoder,nisqa_temporal_00081,4.23,5.574,4.16,5.6000000000000005,0.9333333333333327
encoder,nisqa_temporal_00094,0.952,1.857,3.68,3.7600000000000002,0.0
encoder,nisqa_temporal_00121,2.026,2.906,2.12,2.96,0.8415417558886509
encoder,nisqa_temporal_00128,1.758,2.898,5.64,5.88,0.0
encoder,nisqa_temporal_00135,1.019,2.583,2.24,2.56,0.2046035805626597
encoder,nisqa_temporal_00155,0.206,1.55,10.52,10.68,0.0
encoder,nisqa_temporal_00168,0.161,0.808,0.36,0.84,0.6597938144329899
encoder,nisqa_temporal_00182,2.549,3.437,2.72,3.4,0.7657657657657655
encoder,nisqa_temporal_00236,0.991,2.47,0.88,2.48,0.9243750000000001
encoder,nisqa_temporal_00297,3.192,4.671,3.12,4.08,0.5725338491295937
encoder,nisqa_temporal_00303,5.948,7.133,5.8,6.5600000000000005,0.45911477869467365
encoder,nisqa_temporal_00317,2.404,4.187,3.72,3.8000000000000003,0.04486819966348853
encoder,nisqa_temporal_00351,2.866,4.829,2.96,3.68,0.3667855323484464
encoder,nisqa_temporal_00398,4.605,6.475,5.08,5.68,0.320855614973262
encoder,nisqa_temporal_00459,6.685,7.861,6.92,7.5600000000000005,0.5442176870748303
encoder,nisqa_temporal_00479,1.652,2.808,2.44,2.68,0.20761245674740506
encoder,nisqa_temporal_00486,4.135,4.993,1.12,1.84,0.0
encoder,nisqa_temporal_00526,2.702,3.798,2.8000000000000003,3.56,0.6934306569343063
encoder,nisqa_temporal_00587,1.079,1.932,1.0,1.2,0.12982832618025753
encoder,nisqa_temporal_00607,1.938,3.111,2.24,2.88,0.5456095481670925
encoder,nisqa_temporal_00621,2.261,3.084,2.32,3.2,0.8136315228966988
encoder,nisqa_temporal_00654,2.39,3.104,2.4,3.08,0.9523809523809527
encoder,nisqa_temporal_00729,10.087,10.715,8.56,9.040000000000001,0.0
encoder,nisqa_temporal_00742,2.772,3.691,2.44,3.3200000000000003,0.43804956035171905
encoder,nisqa_temporal_00769,7.453,8.32,7.5600000000000005,7.640000000000001,0.09227220299884668
encoder,nisqa_temporal_00776,2.387,3.026,2.2800000000000002,3.04,0.8407894736842105
encoder,nisqa_temporal_00789,1.236,2.111,1.24,2.12,0.985294117647059
encoder,nisqa_temporal_00843,0.317,1.33,6.88,8.68,0.0
encoder,nisqa_temporal_00864,3.712,4.782,3.68,5.0,0.8106060606060606
encoder,nisqa_temporal_00877,4.275,5.731,4.2,5.8,0.9099999999999999
encoder,nisqa_temporal_00911,3.536,6.03,4.0,6.0,0.801924619085806
encoder,nisqa_temporal_00978,2.319,3.416,2.52,3.48,0.7717484926787251
encoder,nisqa_temporal_01012,1.401,2.792,1.6400000000000001,2.32,0.4888569374550681
encoder,nisqa_temporal_01019,6.462,7.089,6.2,7.08,0.6951631046119237
encoder,nisqa_temporal_01026,1.249,2.521,1.28,1.6400000000000001,0.2830188679245284
encoder,nisqa_temporal_01134,1.615,2.465,1.6,1.8800000000000001,0.3063583815028904
encoder,nisqa_temporal_01140,1.638,3.03,2.16,2.96,0.5747126436781609
encoder,nisqa_temporal_01154,4.696,5.861,4.68,5.88,0.9708333333333332
encoder,nisqa_temporal_01242,4.697,6.21,4.64,6.28,0.9225609756097557
encoder,nisqa_temporal_01248,4.406,5.947,5.5200000000000005,5.76,0.1557430240103824
encoder,nisqa_temporal_01289,10.099,10.894,5.8,6.08,0.0
encoder,nisqa_temporal_01296,1.256,2.752,1.24,2.7600000000000002,0.9842105263157892
encoder,nisqa_temporal_01316,4.295,6.497,4.24,5.72,0.6313690739920248
encoder,nisqa_temporal_01343,7.216,7.849,7.28,7.84,0.8846761453396518
encoder,nisqa_temporal_01377,1.327,2.151,1.28,1.48,0.17566016073478768
encoder,nisqa_temporal_01383,3.693,5.415,5.32,5.88,0.043438500228623576
encoder,nisqa_temporal_01397,2.903,3.655,0.56,1.0,0.0
encoder,nisqa_temporal_01410,2.14,3.206,2.16,3.2800000000000002,0.9175438596491226
encoder,nisqa_temporal_01417,5.135,6.146,5.64,5.84,0.1978239366963404
encoder,nisqa_temporal_01424,2.498,3.117,4.64,4.84,0.0
encoder,nisqa_temporal_01518,2.037,3.357,2.08,2.84,0.5757575757575755
encoder,nisqa_temporal_01525,1.673,2.587,1.52,2.64,0.8160714285714287
encoder,nisqa_temporal_01552,9.447,10.744,9.76,10.24,0.3700848111025445
encoder,nisqa_temporal_01559,0.606,1.347,0.56,1.36,0.92625
encoder,nisqa_temporal_01633,6.401,7.713,6.24,7.68,0.868295994568907
encoder,nisqa_temporal_01667,6.019,7.948,7.04,7.28,0.1244167962674962
encoder,nisqa_temporal_01721,1.205,2.42,1.2,2.52,0.9204545454545452
encoder,nisqa_temporal_01728,5.408,6.422,5.32,6.48,0.8741379310344821
encoder,nisqa_temporal_01768,5.824,7.088,5.8,7.16,0.9294117647058823
encoder,nisqa_temporal_01788,1.739,2.61,1.68,2.52,0.8397849462365591
encoder,nisqa_temporal_01802,1.941,2.757,1.92,2.96,0.7846153846153846
encoder,nisqa_temporal_01836,4.752,6.428,5.76,6.24,0.28639618138424844
encoder,nisqa_temporal_01903,3.968,4.846,4.12,4.32,0.22779043280182248
encoder,nisqa_temporal_01910,1.335,3.74,1.28,3.88,0.9250000000000003
encoder,nisqa_temporal_01917,2.732,4.45,2.72,4.48,0.9761363636363635
encoder,nisqa_temporal_01950,6.388,7.242,4.96,5.32,0.0
encoder,nisqa_temporal_01971,7.062,7.981,6.96,8.08,0.8205357142857138
encoder,nisqa_temporal_01984,5.497,6.975,5.48,6.88,0.9250836120401342
encoder,nisqa_temporal_01991,3.168,4.556,3.04,4.4,0.8126649076517152
encoder,nisqa_temporal_02072,3.8,5.801,4.44,4.6000000000000005,0.07996001999000506
encoder,nisqa_temporal_02139,0.953,1.728,1.04,1.72,0.8774193548387095
encoder,nisqa_temporal_02153,1.798,2.672,1.76,2.64,0.9232456140350876
encoder,nisqa_temporal_02160,3.132,4.558,3.12,4.72,0.89125
encoder,nisqa_temporal_02200,0.785,2.453,0.88,2.4,0.9112709832134295
encoder,nisqa_temporal_02207,6.451,7.813,6.4,7.68,0.8697806086341123
encoder,nisqa_temporal_02214,3.189,4.939,3.2,4.2,0.5714285714285714
encoder,nisqa_temporal_02254,0.851,1.555,0.88,1.56,0.9520451339915373
encoder,nisqa_temporal_02281,0.995,1.752,0.96,1.68,0.86489898989899
encoder,nisqa_temporal_02295,5.622,6.606,5.5600000000000005,6.32,0.6673040152963678
encoder,nisqa_temporal_02315,0.864,2.115,0.88,1.8800000000000001,0.7993605115907272
encoder,nisqa_temporal_02443,9.921,10.994,10.64,10.88,0.22367194780987895
encoder,nisqa_temporal_02477,2.205,3.325,9.32,9.44,0.0
encoder,nisqa_temporal_02511,4.247,5.295,5.16,5.64,0.096913137114142
encoder,nisqa_temporal_02612,0.882,2.244,0.92,2.32,0.9207232267037556
encoder,nisqa_temporal_02639,3.758,4.365,3.8000000000000003,4.16,0.5930807248764411
encoder,nisqa_temporal_02700,6.297,8.279,6.76,8.2,0.726538849646821
encoder,nisqa_temporal_02706,0.137,1.734,1.32,1.56,0.15028177833437695
encoder,nisqa_temporal_02760,2.493,3.364,2.48,3.4,0.9467391304347826
encoder,nisqa_temporal_02787,0.588,1.82,6.88,7.12,0.0
encoder,nisqa_temporal_02855,4.347,5.809,5.12,5.32,0.13679890560875527
encoder,nisqa_temporal_02862,2.574,3.739,2.6,3.72,0.96137339055794
encoder,nisqa_temporal_02889,4.942,6.682,5.72,6.04,0.18390804597701163
encoder,nisqa_temporal_02909,3.817,4.503,3.84,4.68,0.7682502896871386
encoder,nisqa_temporal_02922,4.072,5.558,4.2,5.08,0.5921938088829072
encoder,nisqa_temporal_02976,4.311,5.008,4.2,4.84,0.6547029702970297
encoder,nisqa_temporal_03057,2.095,4.77,1.4000000000000001,4.44,0.695845697329377
encoder,nisqa_temporal_03125,6.112,6.971,5.96,7.08,0.7669642857142857
encoder,nisqa_temporal_03145,8.997,9.622,4.6000000000000005,4.8,0.0
encoder,nisqa_temporal_03186,4.22,5.729,2.04,2.2,0.0
encoder,nisqa_temporal_03199,4.676,5.887,4.48,5.32,0.45771144278607
