index,filename_deg,mix_filename,model_used,mos,duration_seconds,gt_start,gt_end,pred_start,pred_end,iou,start_abs_err,end_abs_err,description,raw_response
0,c05603_2_267_2_7_001-ch6-speaker_seg31.wav,0000_mix_c05603_2_267_2_7_001-ch6-speaker_seg31.wav,gemini-3.1-pro-preview,2.2,7.0,0.972,2.119,0.0,7.0,0.1638571428571429,0.972,4.881,The entire clip is degraded.,"{
  ""start_time_sec"": 0.0,
  ""end_time_sec"": 7.0,
  ""description"": ""The entire clip is degraded.""
}"
1,c09855_1_585_2_7_001-ch6-speaker_seg47.wav,0001_mix_c09855_1_585_2_7_001-ch6-speaker_seg47.wav,gemini-3.1-pro-preview,1.8,12.0,4.14,6.584,0.0,12.0,0.20366666666666666,4.14,5.416,background noise,"{
  ""start_time_sec"": 0.0,
  ""end_time_sec"": 12.0,
  ""description"": ""background noise""
}"
2,c09654_book_08293_chp_0014_reader_07695_0_seg.wav,0002_mix_c09654_book_08293_chp_0014_reader_07695_0_seg.wav,gemini-3.1-pro-preview,1.0,10.0,5.947,7.028,5.0,8.0,0.3603333333333332,0.9470000000000001,0.9720000000000004,robotic voice distortion,"{
  ""start_time_sec"": 5.0,
  ""end_time_sec"": 8.0,
  ""description"": ""robotic voice distortion""
}"
3,c06672_book_07845_chp_0002_reader_11959_6_seg.wav,0003_mix_c06672_book_07845_chp_0002_reader_11959_6_seg.wav,gemini-3.1-pro-preview,1.0,6.0,1.817,3.431,1.0,3.0,0.48663101604278075,0.817,0.43100000000000005,robotic distortion and pitch shift,"{
  ""start_time_sec"": 1.00,
  ""end_time_sec"": 3.00,
  ""description"": ""robotic distortion and pitch shift""
}"
4,c08528_1_1037_2_7_001-ch6-speaker_seg27.wav,0004_mix_c08528_1_1037_2_7_001-ch6-speaker_seg27.wav,gemini-3.1-pro-preview,1.8,12.0,1.553,3.703,1.0,4.0,0.7166666666666667,0.5529999999999999,0.29700000000000015,robotic distortion and heavy compression artifacts,"{
  ""start_time_sec"": 1.0,
  ""end_time_sec"": 4.0,
  ""description"": ""robotic distortion and heavy compression artifacts""
}"
5,c04747_sof_01208_00933725532_seg.wav,0005_mix_c04747_sof_01208_00933725532_seg.wav,gemini-3.1-pro-preview,2.2,6.912,1.36,2.553,0.0,6.91,0.17264833574529664,1.36,4.357,The entire clip is degraded.,"{
  ""start_time_sec"": 0.0,
  ""end_time_sec"": 6.91,
  ""description"": ""The entire clip is degraded.""
}"
6,c06795_book_09669_chp_0017_reader_11208_38_seg.wav,0006_mix_c06795_book_09669_chp_0017_reader_11208_38_seg.wav,gemini-3.1-pro-preview,1.8,6.0,4.054,5.202,0.0,6.0,0.19133333333333327,4.054,0.798,The entire clip is degraded.,"{
  ""start_time_sec"": 0.0,
  ""end_time_sec"": 6.0,
  ""description"": ""The entire clip is degraded.""
}"
7,c09033_1_1230_2_7_001-ch6-speaker_seg67.wav,0007_mix_c09033_1_1230_2_7_001-ch6-speaker_seg67.wav,gemini-3.1-pro-preview,1.25,9.0,4.657,5.773,4.0,6.0,0.5579999999999998,0.657,0.2270000000000003,water pouring sound,"{
  ""start_time_sec"": 4.0,
  ""end_time_sec"": 6.0,
  ""description"": ""water pouring sound""
}"
8,c03086_2_973_2_7_001-ch6-speaker_seg32.wav,0008_mix_c03086_2_973_2_7_001-ch6-speaker_seg32.wav,gemini-3.1-pro-preview,1.8,9.0,1.101,2.16,0.0,9.0,0.11766666666666668,1.101,6.84,constant background noise and slight distortion,"{
  ""start_time_sec"": 0.0,
  ""end_time_sec"": 9.0,
  ""description"": ""constant background noise and slight distortion""
}"
9,c03155_3_503_2_7_001-ch6-speaker_seg86.wav,0009_mix_c03155_3_503_2_7_001-ch6-speaker_seg86.wav,gemini-3.1-pro-preview,1.8,8.0,5.279,7.705,0.0,8.0,0.30325,5.279,0.29499999999999993,background noise and slight echo,"{
  ""start_time_sec"": 0.0,
  ""end_time_sec"": 8.0,
  ""description"": ""background noise and slight echo""
}"
