id,filename_deg,mix_filename,audio_path_resolved,duration_seconds,gt_start,gt_end,pred_start,pred_end,tiou,offset_err,start_offset_err,end_offset_err,start_abs_err,end_abs_err,gt_interval_source,pred_interval_source,mos,predicted_response
nisqa_temporal_00000,c07923_1_826_2_7_001-ch6-speaker_seg135.wav,0000_mix_c07923_1_826_2_7_001-ch6-speaker_seg135.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0000_mix_c07923_1_826_2_7_001-ch6-speaker_seg135.wav,6.0,2.877,4.726,0.27,1.99,0.0,-2.6715,-2.6069999999999998,-2.7359999999999998,2.6069999999999998,2.7359999999999998,mix_deg_segments,token,1.4,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.27|> and <|1.99|>."
nisqa_temporal_00001,c07619_book_06403_chp_0005_reader_08804_16_seg.wav,0001_mix_c07619_book_06403_chp_0005_reader_08804_16_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0001_mix_c07619_book_06403_chp_0005_reader_08804_16_seg.wav,7.0,4.171,5.858,0.25,1.43,0.0,-4.1745,-3.9210000000000003,-4.428,3.9210000000000003,4.428,mix_deg_segments,token,1.2,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.25|> and <|1.43|>."
nisqa_temporal_00002,c05919_4_103_2_7_001-ch6-speaker_seg34.wav,0002_mix_c05919_4_103_2_7_001-ch6-speaker_seg34.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0002_mix_c05919_4_103_2_7_001-ch6-speaker_seg34.wav,12.0,6.957,9.758,7.01,8.71,0.6069260978222069,-0.49749999999999917,0.052999999999999936,-1.0479999999999983,0.052999999999999936,1.0479999999999983,mix_deg_segments,token,2.2,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|8.71|>."
nisqa_temporal_00003,c08101_4_1009_2_7_001-ch6-speaker_seg31.wav,0003_mix_c08101_4_1009_2_7_001-ch6-speaker_seg31.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0003_mix_c08101_4_1009_2_7_001-ch6-speaker_seg31.wav,11.0,2.573,4.32,7.01,8.71,0.0,4.4135,4.436999999999999,4.390000000000001,4.436999999999999,4.390000000000001,mix_deg_segments,token,2.4,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|8.71|>."
nisqa_temporal_00004,c06086_4_786_2_7_001-ch6-speaker_seg44.wav,0004_mix_c06086_4_786_2_7_001-ch6-speaker_seg44.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0004_mix_c06086_4_786_2_7_001-ch6-speaker_seg44.wav,9.0,0.837,3.909,3.76,7.01,0.02413737242831687,3.012,2.923,3.101,2.923,3.101,mix_deg_segments,token,2.875,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|3.76|>."
nisqa_temporal_00005,c09341_3_1097_2_7_001-ch6-speaker_seg1.wav,0005_mix_c09341_3_1097_2_7_001-ch6-speaker_seg1.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0005_mix_c09341_3_1097_2_7_001-ch6-speaker_seg1.wav,9.0,7.056,8.823,7.01,8.71,0.9123000551571981,-0.0794999999999999,-0.04600000000000026,-0.11299999999999955,0.04600000000000026,0.11299999999999955,mix_deg_segments,token,1.6,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|8.71|>."
nisqa_temporal_00006,c09942_2_727_2_7_001-ch6-speaker_seg31.wav,0006_mix_c09942_2_727_2_7_001-ch6-speaker_seg31.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0006_mix_c09942_2_727_2_7_001-ch6-speaker_seg31.wav,10.0,0.303,1.32,5.61,7.54,0.0,5.7635000000000005,5.307,6.22,5.307,6.22,mix_deg_segments,token,1.1,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|5.61|> and <|7.54|>."
nisqa_temporal_00007,c05725_2_965_2_7_001B-ch6-speaker_seg10.wav,0007_mix_c05725_2_965_2_7_001B-ch6-speaker_seg10.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0007_mix_c05725_2_965_2_7_001B-ch6-speaker_seg10.wav,6.0,3.744,5.849,0.27,1.99,0.0,-3.6665,-3.474,-3.859,3.474,3.859,mix_deg_segments,token,2.5,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.27|> and <|1.99|>."
nisqa_temporal_00008,c06515_book_05084_chp_0007_reader_03718_8_seg.wav,0008_mix_c06515_book_05084_chp_0007_reader_03718_8_seg.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0008_mix_c06515_book_05084_chp_0007_reader_03718_8_seg.wav,7.0,5.973,6.986,0.25,1.43,0.0,-5.6395,-5.723,-5.556,5.723,5.556,mix_deg_segments,token,1.8,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|0.25|> and <|1.43|>."
nisqa_temporal_00009,c02693_2_117_2_7_001-ch6-speaker_seg39.wav,0009_mix_c02693_2_117_2_7_001-ch6-speaker_seg39.wav,data/processed/nisqa_sim_mix_lowmos_active_max_mos3/0009_mix_c02693_2_117_2_7_001-ch6-speaker_seg39.wav,10.0,2.106,3.722,7.01,8.99,0.0,5.086,4.904,5.268000000000001,4.904,5.268000000000001,mix_deg_segments,token,2.2,"This synthesized speech has moderate noise level, but it is severely discontinuous and significantly distorted. Although the volume is understandable, the overall MOS score is only 1.8. The quality is interrupted by codec artifacts and packet-loss concealment artifacts occurring between <|7.01|> and <|8.99|>."
